#Acknowledge use of the ATNF Pulsar Catalogue, both by giving the Catalogue web address:http://www.atnf.csiro.au/people/pulsar/psrcat/ and by referencing the paper: Manchester, R. N., Hobbs, G. B., Teoh, A. & Hobbs, M., AJ, 129, 1993-2006 (2005) 
287,J0934-5249,mlt+78,0.692150154227,15,dmk+93,100,2,dmk+93,
288,J0940-5428,mlc+01,11.4226702411,5,mlc+01,134.5,9,mlc+01,
289,J0941-39,bb10,1.70422082455,9,bb10,78.2,27,bb10,
290,J0941-5244,mld+96,1.51847002943,3,dsb+98,157.94,1,dsb+98,
291,J0942-5552,wvl69,1.50519105458,14,smd93,180.2,5,nmc81,
292,J0942-5657,mlt+78,1.237428626709,17,smd93,159.74,12,hfs+04,
293,J0943+1631,mlt+78,0.919609800526,8,hlk+04,20.32,5,hlk+04,
294,J0943+22,tdk+93,1.87648,5,tdk+93,25.1,6,tdk+93,
295,J0944-1354,mlt+78,1.7535734003402,10,hlk+04,12.497,3,hlk+04,
296,J0945-4833,kbm+03,3.015812519280,17,kbm+03,98.1,3,kbm+03,
297,J0946+0951,vazs69,0.91099098381,5,hlk+04,15.4,5,hlk+04,
298,J0947+27,rtj+96,1.17502,3,rtj+96,29,3,rtj+96,
299,J0949-6902,bbb+12,1.56246161188,3,bbb+12,93.0,1,bbb+12,
300,J0952-3839,mlt+78,0.7278999804,3,nmc81,167,3,nmc81,
301,J0953+0755,phbc68,3.951551372963,14,hlk+04,2.958,3,hlk+04,
302,J0954-5430,mlc+01,2.11490588532,7,mlc+01,200.3,4,mlc+01,
303,J0955-5304,mlt+78,1.15993437367,7,nmc81,156.9,2,nmc81,
304,J0957-5432,mlc+01,4.91263619475,13,mlc+01,226.1,3,mlc+01,
305,J0959-4809,mlt+78,1.4923462922,5,nmc81,92.7,12,nmc81,
306,J1000-5149,kbm+03,3.91118330957,4,kbm+03,72.8,3,kbm+03,
307,J1001-5507,wvl69,0.69609640244,6,smd93,130.32,17,hfs+04,
308,J1001-5559,mlc+01,0.601982905120,14,mlc+01,159.3,9,mlc+01,
309,J1001-5939,lfl+06,0.129305212778,13,lfl+06,113,3,lfl+06,
310,J1002-5559,mlc+01,1.2861721336,4,mlc+01,426,4,mlc+01,
311,J1003-4747,mlt+78,3.2565684197,4,nmc81,98.1,12,nmc81,
312,J1006-6311,lml+98,1.1964621075,3,dsb+98,195.99,5,dsb+98,
313,J1012-2337,mlt+78,0.397149259359,6,hlk+04,22.51,9,hlk+04,
314,J1012+5307,nll+95,190.267837621903,4,lcw+01,9.0233,2,lcw+01,
315,J1012-5830,kbm+03,0.46869334353,7,kbm+03,294,4,kbm+03,
316,J1012-5857,jlm+92,1.2196438331,5,jml+95,383.9,1,jml+95,
317,J1013-5934,kbm+03,2.25784279953,3,kbm+03,379.78,17,kbm+03,
318,J1015-5719,kbm+03,7.1488991067,3,kbm+03,278.7,6,kbm+03,
319,J1016-5345,mlt+78,1.2994041123,4,nmc81,66.8,18,nmc81,
320,J1016-5819,mlc+01,11.38509258710,11,mlc+01,252.1,4,mlc+01,
321,J1016-5857,cbm+01,9.31216108951,13,hfs+04,394.2,2,cbm+01,
322,J1017-5621,mlt+78,1.9862597879,4,nmc81,439.1,0,*
323,J1017-7156,kjb+12,427.62190510627,9,kjb+12,94.2256,0,kjb+12,
324,J1018-1642,dtws85,0.554110267968,3,hlk+04,48.82,7,hlk+04,
325,J1019-5749,kbm+03,6.1538950064,4,kbm+03,1039.4,11,kbm+03,
326,J1020-5921,kbm+03,0.80755526467,8,kbm+03,80,3,kbm+03,
